User_ids,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019
1780.0,1,,,1.0,,,,,,
1783.0,7,,,,,,,,,
1804.0,4,2.0,,1.0,,,,,1.0,2.0
3067.0,1,,,,,,,,1.0,
2817.0,2,1.0,,,,,,,,
2790.0,7,2.0,,1.0,1.0,,,,,
2789.0,7,2.0,2.0,2.0,3.0,,,,,
2779.0,7,3.0,,1.0,2.0,1.0,,,,
2792.0,6,5.0,2.0,,,,,,,
3086.0,1,8.0,2.0,,1.0,2.0,,,,
2578.0,5,,,,,,,,,
2172.0,3,,,,,,,,,
2945.0,3,5.0,4.0,,,,,,,
3053.0,7,6.0,4.0,1.0,,,,,,
3057.0,7,5.0,10.0,,,,,,,
3054.0,7,5.0,12.0,,,,,,,
2403.0,2,,3.0,,,,,,,
2823.0,6,4.0,,,2.0,,,,,
3106.0,7,3.0,1.0,1.0,3.0,,,,,
3107.0,7,3.0,1.0,1.0,1.0,,,,,
3110.0,1,,4.0,,,,,,,
3111.0,2,,,,,,,,,
2828.0,7,3.0,2.0,,2.0,1.0,,,,
3117.0,6,3.0,,2.0,1.0,,,,,
3115.0,7,4.0,2.0,1.0,,,,,,
3112.0,2,5.0,5.0,,,,,,,
3120.0,2,,,,1.0,,,,,
3122.0,2,,,,,,,,,
3101.0,7,,,,,,,,,1.0
3128.0,6,5.0,1.0,,,,,,,
3127.0,6,5.0,,,,,,,,
3129.0,6,4.0,,,,,,,,
3125.0,7,7.0,7.0,,,,1.0,,,
3134.0,4,1.0,3.0,,,,,,,
3108.0,1,,,,,,,,,
3135.0,5,,,,,,,,,
3139.0,7,5.0,3.0,,,1.0,,,,
2946.0,8,5.0,10.0,2.0,,,,,,
3085.0,8,5.0,1.0,,,,,,,
2577.0,8,5.0,,,,,,,,
3148.0,7,4.0,9.0,1.0,3.0,1.0,,,,
2991.0,3,,,,,,,,,
2668.0,6,1.0,,1.0,,,,,,
2720.0,8,5.0,2.0,,,,,,,
2989.0,8,1.0,,,,,,,,
2519.0,5,,,,,,,,,
2667.0,4,1.0,3.0,,,1.0,,1.0,1.0,
2673.0,2,2.0,,,,,,,,
3155.0,1,,,,,,,,,
1999.0,7,5.0,1.0,,,,,,,
3102.0,8,4.0,2.0,,,,,,,
3157.0,1,,,,,,,,,
3159.0,1,,,,,,,,,
3160.0,2,,,,,,,,,
3032.0,1,,,,,,,,,
3084.0,5,5.0,1.0,,,,,,,
3163.0,3,2.0,1.0,,,,,,,
3164.0,4,,,,,,,,,
3167.0,1,,,,,,,,,
3168.0,4,3.0,1.0,1.0,2.0,,,,,
2531.0,7,2.0,1.0,,,,,,,1.0
3178.0,7,2.0,4.0,1.0,,1.0,,,,5.0
3181.0,2,,2.0,1.0,,,,,,
3184.0,1,,,,,,,,,
3187.0,6,3.0,1.0,,,1.0,,,,
3180.0,2,,,,,,,,,
2723.0,1,3.0,,,,,,,,
3095.0,1,,,,,,,,,
3137.0,7,6.0,4.0,1.0,2.0,1.0,,,,
3190.0,5,,,,,,,,,
3188.0,1,,,,,,,,,
3191.0,1,,1.0,,,,,,,
3194.0,4,5.0,2.0,,,,,,2.0,3.0
3047.0,1,,,,,,,,,
2114.0,1,,,,,,,,,
3152.0,5,3.0,1.0,,,,1.0,,,
2837.0,5,2.0,5.0,1.0,,,,,,
3199.0,1,,,,,,,,,
3182.0,5,7.0,1.0,,,,,,,
3204.0,8,2.0,,,,,,,,
3153.0,1,,,3.0,,,,,,
3150.0,1,,,,,,1.0,2.0,3.0,2.0
3179.0,6,,1.0,,,,,,,
3192.0,1,,,,,,,,,
3210.0,1,,,,,,,,,
3171.0,6,3.0,2.0,,,,,,,
3214.0,7,,1.0,,,2.0,,,1.0,1.0
3213.0,5,1.0,1.0,,,,,,,
3208.0,7,4.0,3.0,,,1.0,,,,
3158.0,1,,,,,,,,,
2756.0,8,4.0,5.0,1.0,,,,,,
3217.0,6,6.0,,1.0,,,,,,
3220.0,7,2.0,,1.0,,,,1.0,2.0,2.0
2830.0,6,4.0,3.0,,,,,,,
3215.0,1,,5.0,1.0,,,,,,
2041.0,2,,,,,,,,,
2037.0,4,4.0,,,,,,,,
2085.0,7,2.0,4.0,,,,,,4.0,
3170.0,2,,2.0,,,,,,,
3236.0,2,1.0,,,,1.0,,,,
3080.0,1,,2.0,1.0,,,,,,
2944.0,3,3.0,4.0,2.0,,,,,,
2885.0,6,4.0,,2.0,,,,,,
3144.0,7,,3.0,,,,,,,
2801.0,8,3.0,5.0,,,,,,,
3239.0,2,,,,,,,,,
3240.0,3,,,2.0,,,,,,
3092.0,5,,,,,,,,,
3241.0,6,1.0,3.0,1.0,,,,,,
3244.0,4,,,,,,,,,
3249.0,5,1.0,,,,,,,,
3246.0,2,,,,,,,,,
3255.0,5,6.0,,1.0,,,,,,
3258.0,1,,3.0,,,,,,,
3256.0,7,3.0,2.0,,,,,,,
2171.0,1,,,,,,,,,
3162.0,4,5.0,1.0,,,,,,,
2913.0,2,,,,,,,,,
3243.0,4,1.0,1.0,1.0,,,,,,
3267.0,1,,,,,,,,,
2394.0,2,1.0,3.0,3.0,,,,,,
3269.0,1,,,,,,,,,
3272.0,7,6.0,4.0,1.0,,,,,,
3275.0,2,,,,,,,,,
3273.0,5,2.0,2.0,1.0,,,,,,
3276.0,5,,,,,,,,,
3278.0,6,6.0,,,,,,,,
3279.0,3,1.0,,,,,,,,
3081.0,3,1.0,1.0,,,,,,,
